gate,n_hc_days,n_trades,1y_trades,1y_win,1y_avg,1y_net,1y_roi,2y_trades,2y_win,2y_avg,2y_net,2y_roi,5y_trades,5y_win,5y_avg,5y_net,5y_roi,10y_trades,10y_win,10y_avg,10y_net,10y_roi
≥2  (no anchor gate),727,138,18,100.0,33.439601779855536,37433.122918918525,33.066230565152054,34,94.11764705882352,38.43626266657525,78395.74708779663,39.366908718881895,71,78.87323943661971,40.73448882295079,180445.17122032796,44.533528538641676,138,78.26086956521739,44.212204123268975,390510.5092193405,46.64597565086712
≥2  &  includes A,358,78,7,100.0,33.74411978432073,14726.225168716112,33.67465615724858,17,100.0,41.55537351343074,39704.30359154563,42.678790059288666,36,94.44444444444444,61.20655765992934,138385.57067339428,65.54288516999623,78,82.05128205128204,55.81441905086063,283629.1740821247,57.48230841560413
≥2  &  includes B,420,93,8,100.0,34.09989010676717,17192.579291767266,34.00561860040677,19,89.47368421052632,34.231382799986626,37924.148335095175,35.978389920368876,46,80.43478260869566,44.30750627386719,126847.40336815416,49.08538178409211,93,76.34408602150538,45.60362731085569,273851.94776455616,48.48685609479781
≥2  &  includes D,383,91,15,93.33333333333333,30.22563896264844,27760.50240629357,29.711912014678898,24,91.66666666666666,36.4086502339146,53046.56272129741,37.305867541812624,51,80.3921568627451,39.51884836212239,125910.42213860841,42.55647081216543,91,82.41758241758241,45.097742320324286,260121.1182858881,47.16847820498465
≥2  &  includes C,390,95,15,93.33333333333333,30.22563896264844,27760.50240629357,29.711912014678898,25,88.0,34.06343533154642,51875.0587615938,35.17775836978026,53,77.35849056603774,36.49037390218139,121618.22341453191,39.69030167764196,95,81.05263157894737,42.5762144904807,256929.31310916785,44.908766841553735
"≥3  &  one of {A,E}",142,59,10,100.0,33.76657464711264,21178.36994578642,33.66527111102419,18,94.44444444444444,37.71291561387295,39461.45139034517,38.07931309565739,34,85.29411764705883,48.51877470306707,100829.63754270822,51.569691386648465,59,79.66101694915254,46.203589588207564,172094.24783308973,48.41827743195166
"≥3  &  one of {A,D}",159,59,10,100.0,33.010860689580866,20524.090375927342,32.707705084102436,18,94.44444444444444,36.47015710692772,38241.16535536073,37.16972205512974,36,86.11111111111111,46.088501044698596,100627.34180823946,49.506812309364825,59,81.35593220338984,45.969185412278016,171040.06152775977,48.74390390370141
≥3  (no anchor gate),169,65,10,100.0,34.232807176012834,21481.7588772577,34.13626611353857,19,89.47368421052632,34.694739864465504,38601.951919866086,35.59850922330565,38,81.57894736842105,42.03561670712603,97721.66285062244,45.57925573342751,65,78.46153846153847,41.44217400377918,169949.19950243743,44.27906830025889
"≥3  &  one of {B,E}",162,65,10,100.0,34.232807176012834,21481.7588772577,34.13626611353857,19,89.47368421052632,34.694739864465504,38601.951919866086,35.59850922330565,38,81.57894736842105,42.03561670712603,97721.66285062244,45.57925573342751,65,78.46153846153847,41.33828412536092,169721.99203702272,44.18497151088715
"≥3  &  one of {A,C}",162,62,10,100.0,33.010860689580866,20524.090375927342,32.707705084102436,19,89.47368421052632,33.38111082102153,37069.66139565717,34.274742424611006,38,81.57894736842105,41.518804946224215,96335.1430841629,45.056239558141066,62,79.03225806451613,42.534825597200125,167087.5406496593,45.56345120867158
